id|signup|contact|birthdate|name1|name2
A0097011|2010-01-31 23:04:15|me@home.com|1980-10-14|Donald|Obama
B0000011|2016-12-01 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000011|2016-12-02 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000021|2016-12-02 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000031|2016-12-03 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000121|2016-12-03 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000041|2016-12-04 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000051|2016-12-05 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000061|2016-12-06 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000071|2016-12-07 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000081|2016-12-08 09:56:02|you@land.com|1980-10-14|Barack|Trump
B0000091|2016-12-08 09:56:02|you@land.com|1980-10-14|dont|add
B0000101|2017-12-10 09:56:02|you@land.com|1980-10-14|Barako|Bama
B000011|2017-11-11 10:56:01|you@land.com|1980-10-14|Barack|Trumpolin
