id|signup|contact|birthdate|name1|name2
A009701|2010-01-31 23:04:15|me@home.com|1980-10-14|Donald|Obama
B000001|2016-12-01 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000001|2016-12-02 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000002|2016-12-02 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000003|2016-12-03 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000012|2016-12-03 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000004|2016-12-04 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000005|2016-12-05 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000006|2016-12-06 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000007|2016-12-07 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000008|2016-12-08 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000009|2016-12-09 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000010|2016-12-10 09:56:02|you@land.com|1980-10-14|Barack|Trump
B000011|2016-12-11 09:56:02|you@land.com|1980-10-14|Barack|Trump
