id|signup|contact|birthdate|firstname|lastname|country
A009701|2010-01-31 23:04:15|k@m.com|1980-04-15|Kylian|Mbappé|France
B000001|2016-12-01 09:56:02|n@b.com|1980-04-15|Napoleon|Bonaparte|France
B000001|2016-12-02 09:56:02|m@c.com|1980-04-15|Marie|Curie|France
B000002|2016-12-02 09:56:02|z@z.com|1980-04-15|Zinedine|Zidane|France
B000003|2016-12-03 09:56:02|e@g.com|1980-04-15|Eva|Green|France
B000012|2016-12-03 09:56:02|k@b.com|1980-04-15|Karim|Benzema|France
B000004|2016-12-04 09:56:02|m@c.com|1980-04-15|Marion|Cotillard|France
B000005|2016-12-05 09:56:02|a@g.com|1980-04-15|Ariana|Grande|USA
B000006|2016-12-06 09:56:02|m@j.com|1980-04-15|Michael|Jordan|USA
B000007|2016-12-07 09:56:02|m@a.com|1980-04-15|Muhammad|Ali|USA
B000008|2016-12-08 09:56:02|t@s.com|1980-04-15|Taylor|Swift|USA
B000009|2016-12-09 09:56:02|e@p.com|1980-04-15|Elvis|Presley|USA
B000010|2016-12-10 09:56:02|s@j.com|1980-04-15|Steve|Jobs|USA
B000011|2016-12-11 09:56:02|a@l.com|1980-04-15|Abraham|Lincoln|USA
